,urls
398,https://www.rightmove.co.uk/properties/144494672#/?channel=RES_LET
399,https://www.rightmove.co.uk/properties/145409576#/?channel=RES_LET
400,https://www.rightmove.co.uk/properties/144467588#/?channel=RES_LET
401,https://www.rightmove.co.uk/properties/145409576#/?channel=RES_LET
402,https://www.rightmove.co.uk/properties/144748064#/?channel=RES_LET
403,https://www.rightmove.co.uk/properties/145409570#/?channel=RES_LET
404,https://www.rightmove.co.uk/properties/145409429#/?channel=RES_LET
405,https://www.rightmove.co.uk/properties/145409423#/?channel=RES_LET
406,https://www.rightmove.co.uk/properties/145409396#/?channel=RES_LET
407,https://www.rightmove.co.uk/properties/145409342#/?channel=RES_LET
408,https://www.rightmove.co.uk/properties/145409255#/?channel=RES_LET
409,https://www.rightmove.co.uk/properties/145409216#/?channel=RES_LET
410,https://www.rightmove.co.uk/properties/145092590#/?channel=RES_LET
